actor_name,actor_movie_count,actor_avg_imdb_score,actor_avg_gross
Robert De Niro,53,6.749056603773584,49722602.19056789
Morgan Freeman,45,6.893333333333333,89606978.56777886
Bruce Willis,39,6.597435897435898,66039200.8337611
Matt Damon,37,7.078378378378377,73140667.4054054
Steve Buscemi,37,6.5675675675675675,68642854.89279369
Johnny Depp,36,6.780555555555555,91576966.20879675
Brad Pitt,33,7.087878787878788,72266494.16717221
Liam Neeson,33,6.636363636363637,73948711.78888988
Nicolas Cage,33,6.245454545454545,53069436.75858685
Bill Murray,32,6.9375,61447468.25
Will Ferrell,32,6.3125,64696667.96875
Denzel Washington,31,7.090322580645162,64778450.51612903
Anthony Hopkins,30,6.8566666666666665,54794848.0011122
Harrison Ford,29,7.075862068965517,123277469.24252987
J.K. Simmons,29,6.662068965517241,81944275.86206897
Tom Hanks,28,7.3999999999999995,129023115.82142857
Christian Bale,28,7.257142857142857,83935720.96428572
Tom Cruise,28,7.014285714285714,117785061.23273869
Scarlett Johansson,28,6.992857142857143,115902852.89285715
Robert Downey Jr.,28,6.885714285714286,126402185.96428572
Jim Broadbent,28,6.682142857142857,47705671.304167256
Robin Williams,27,6.574074074074074,85081223.22222222
Julia Roberts,27,6.366666666666667,73580879.24135864
Tom Wilkinson,26,6.926923076923076,43316484.07692308
Meryl Streep,26,6.8961538461538465,54363714.94423266
Matthew McConaughey,26,6.742307692307692,55020091.884615384
James Franco,26,6.642307692307692,81696377.21218012
Sylvester Stallone,26,6.253846153846154,61329613.830131344
Philip Seymour Hoffman,25,7.132000000000001,73670826.16
Gerard Butler,25,6.54,57474712.10066733
Jason Statham,25,6.476,45161418.98066732
Robert Duvall,24,6.966666666666666,58865534.27291871
Jeff Bridges,24,6.770833333333333,59387045.875
Kirsten Dunst,24,6.6375,71190421.625
Angelina Jolie Pitt,24,6.429166666666667,83147029.54166667
Adam Sandler,24,6.129166666666666,95305869.77152847
Judy Greer,24,6.120833333333334,79912311.64652847
Keanu Reeves,23,6.769565217391304,46536513.26086956
Charlize Theron,23,6.608695652173913,49019614.652173914
Leonardo DiCaprio,22,7.509090909090909,120443272.18181819
Kevin Spacey,22,7.15,57062013.04545455
Kate Winslet,22,7.0181818181818185,63511746.97803105
Hugh Jackman,22,6.886363636363637,97616077.9090909
Anne Hathaway,22,6.6863636363636365,83406913.77272727
Gary Oldman,22,6.590909090909091,72322935.77272727
Al Pacino,21,6.876190476190477,46337212.1674611
Naomi Watts,21,6.761904761904762,40381118.23809524
Dennis Quaid,21,6.533333333333333,48616151.45317538
Channing Tatum,21,6.242857142857143,67580623.66666667
Dwayne Johnson,21,6.2285714285714295,88745114.47619048
Jake Gyllenhaal,20,6.955,45930715.251668304
Natalie Portman,20,6.8549999999999995,106443524.75
Will Smith,20,6.7299999999999995,139665644.7
Steve Carell,20,6.6450000000000005,107729873.55
Rosario Dawson,20,6.5,45218550.3
Oliver Platt,20,6.39,48894714.95
Colin Firth,19,6.773684210526315,43389336.2631579
Viggo Mortensen,19,6.61578947368421,28135262.054387685
Ryan Reynolds,19,6.610526315789474,82349265.36842105
Bradley Cooper,19,6.594736842105263,107147424.0
Stephen Root,19,6.526315789473684,62352113.23772016
Zooey Deschanel,19,6.494736842105263,41782726.631578945
Bruce Greenwood,19,6.489473684210526,61974669.05263158
Salma Hayek,19,6.1947368421052635,53130082.08158153
Kristen Stewart,19,6.152631578947368,90400515.5263158
Joseph Gordon-Levitt,18,7.055555555555555,78705378.44444445
Jon Favreau,18,6.577777777777778,119161197.77777778
Milla Jovovich,18,6.077777777777778,30165634.36203794
Ryan Gosling,17,7.017647058823529,29262506.352941178
Scott Glenn,17,6.7823529411764705,48268637.97156959
Vin Diesel,17,6.7823529411764705,104450384.05882353
Jada Pinkett Smith,17,6.482352941176471,70350404.41176471
Paul Walker,17,6.258823529411765,76156623.61862841
Ray Winstone,17,6.252941176470588,61715695.5637303
Brendan Fraser,17,5.788235294117648,47588779.35294118
Clint Eastwood,16,7.3375,56276356.09687807
William Hurt,16,6.8375,46748048.21979269
Bob Hoskins,16,6.6625,29786570.064585377
Bruce McGill,16,6.45,62507611.65729269
Michael Rapaport,16,6.4125,46749259.37917075
Chloë Grace Moretz,16,6.36875,55991917.21979269
Steve Coogan,16,6.34375,122089334.625
Clifton Collins Jr.,16,6.3125,19098695.282292686
Jason Flemyng,16,6.26875,45534796.97187807
Jennifer Lawrence,15,7.046666666666667,161038844.03444555
Michael Fassbender,15,6.819999999999999,55573194.86666667
Christopher Lee,15,6.7,132515044.66889106
Sam Shepard,15,6.6466666666666665,35013778.4022244
Josh Hutcherson,15,6.553333333333333,134385559.63444555
Djimon Hounsou,15,6.426666666666667,70830984.2
Olivia Wilde,15,6.426666666666667,42974832.767778866
Matthew Broderick,15,6.42,75221184.56777887
Chazz Palminteri,15,6.413333333333333,38367546.46889107
Anna Kendrick,15,6.373333333333333,89914436.73333333
Demi Moore,15,6.12,63658180.802224405
Jennifer Jason Leigh,14,7.035714285714286,21413470.28809757
Chris Hemsworth,14,6.857142857142857,150418102.92857143
Don Cheadle,14,6.821428571428571,68440024.21428572
Catherine O'Hara,14,6.678571428571429,68188741.64285715
Martin Landau,14,6.664285714285714,29757472.28809757
Delroy Lindo,14,6.642857142857143,61973661.35714286
Jennifer Garner,14,6.642857142857143,67251317.07142857
Alfre Woodard,14,6.585714285714286,48670340.39404879
Adam Scott,14,6.392857142857143,40439900.571428575
Frank Langella,14,6.3,39159421.75119164
John Heard,14,6.271428571428571,31471539.57619515
Gary Cole,14,6.192857142857143,56167499.465477355
Lin Shaye,14,6.171428571428572,48318987.6083345
Jon Lovitz,14,6.1571428571428575,53285349.788097575
Nia Long,14,6.114285714285714,37671498.53690593
Bernie Mac,14,6.064285714285715,59016046.571428575
Amy Poehler,14,5.878571428571428,100401844.17976308
Mike Epps,14,5.75,48247058.32262022
Minnie Driver,13,7.0307692307692315,31703664.923076924
Kristin Scott Thomas,13,6.823076923076924,43143107.07692308
Robin Wright,13,6.792307692307692,48312682.538461536
Emma Stone,13,6.769230769230769,101005602.53846154
Chris Evans,13,6.730769230769231,87818294.6923077
Peter Dinklage,13,6.723076923076923,78680764.8858987
Michael Angarano,13,6.561538461538461,28386237.771797385
Mila Kunis,13,6.492307692307692,79895209.53846154
Mike Starr,13,6.43076923076923,42603288.27051408
Bill Cobbs,13,6.3307692307692305,40113358.65512946
Jay Hernandez,13,6.084615384615384,42322497.0
Jamie Lee Curtis,13,6.015384615384615,54376169.11666792
Rip Torn,13,6.0,59850026.84872047
Loretta Devine,13,5.961538461538462,49842338.193591
Tom Hardy,12,7.466666666666666,100058724.91666667
Jeremy Renner,12,7.016666666666667,71085600.08333333
Mark Margolis,12,6.8999999999999995,33572808.62639025
Logan Lerman,12,6.675,41669407.916666664
Aidan Quinn,12,6.658333333333334,20448365.586113837
Charlotte Rampling,12,6.608333333333333,14008797.709723584
Radha Mitchell,12,6.575,43772162.252780505
Thomas Kretschmann,12,6.516666666666667,92717883.37639026
Paul Sorvino,12,6.5,27052187.21250409
Jet Li,12,6.466666666666666,48204272.166666664
Bruce Dern,12,6.391666666666667,26772803.631951258
Thomas Lennon,12,6.391666666666667,49087101.5
Natasha Lyonne,12,6.291666666666667,49280694.002780505
Michael Biehn,12,6.283333333333332,42163382.459723584
Virginia Madsen,12,6.216666666666666,38718431.502780505
Vivica A. Fox,12,5.916666666666667,39732928.166666664
Fred Willard,12,5.758333333333333,52939971.583333336
Udo Kier,12,5.758333333333333,22003275.25
Alexa PenaVega,12,5.45,39298392.87639025
Orlando Bloom,11,7.472727272727273,213151507.9560621
Eddie Marsan,11,7.290909090909091,97008263.54545455
Woody Allen,11,6.927272727272728,29724471.14091355
Albert Brooks,11,6.872727272727272,70736003.22878937
Toby Jones,11,6.854545454545455,27947776.63939691
Vanessa Redgrave,11,6.854545454545455,46432826.457578726
Holly Hunter,11,6.827272727272727,55007720.09090909
Sissy Spacek,11,6.709090909090909,26654100.0
Anjelica Huston,11,6.645454545454545,44499355.730306
Olivia Williams,11,6.636363636363637,40083138.865153
Callum Rennie,11,6.354545454545455,39379491.63939691
Janeane Garofalo,11,6.318181818181818,39701168.18181818
Ethan Embry,11,6.3,32564606.0
Hayden Christensen,11,6.254545454545454,87527675.6393969
Cary-Hiroyuki Tagawa,11,6.236363636363635,43747764.13788027
Mekhi Phifer,11,6.236363636363635,58415836.90909091
Kelly Preston,11,6.045454545454546,57286700.90909091
Nathan Lane,11,5.918181818181818,70948402.81818181
Cheech Marin,11,5.736363636363636,50407815.54545455
Sarah Michelle Gellar,11,5.5181818181818185,56276780.50151663
Fisher Stevens,11,5.254545454545454,16604806.54848782
John Ratzenberger,10,7.890000000000001,250986111.3
Joan Allen,10,7.26,46868356.851668306
Ethan Suplee,10,7.25,39224976.4
Benedict Cumberbatch,10,7.19,68850688.6
Alan Rickman,10,7.12,111044743.4
Daniel Radcliffe,10,7.07,185111228.0
Hal Holbrook,10,7.07,42152976.6033366
Heath Ledger,10,7.01,91575423.2
Michael Wincott,10,6.99,44890700.6516683
Hope Davis,10,6.94,21320627.3
Michael Kelly,10,6.87,56936605.7516683
Dominic Cooper,10,6.76,40198624.4
Miranda Richardson,10,6.76,31332439.9
Desmond Llewelyn,10,6.75,54421655.7
Frances Fisher,10,6.67,30870728.3
Adam Goldberg,10,6.609999999999999,41280710.0516683
David Oyelowo,10,6.590000000000001,50322970.6
James Frain,10,6.55,61506052.3516683
Beverly D'Angelo,10,6.5200000000000005,44265204.203336604
Common,10,6.51,64326658.9
Tom Skerritt,10,6.470000000000001,69135156.0516683
Ben Mendelsohn,10,6.42,36181036.2
Bokeem Woodbine,10,6.42,51859102.60667321
Rufus Sewell,10,6.38,43321617.3516683
Tony Curran,10,6.38,40055827.3
John Michael Higgins,10,6.35,64418263.7
Clea DuVall,10,6.33,45122910.4
Treat Williams,10,6.33,28387840.8033366
Dylan Baker,10,6.3,31722540.751668304
Cole Hauser,10,6.24,39883291.851668306
Stockard Channing,10,6.220000000000001,48376183.6
Cedric the Entertainer,10,6.16,91379175.1
Kevin Pollak,10,6.159999999999999,43662129.7516683
Tim Blake Nelson,10,6.12,29835182.6
Dave Chappelle,10,6.029999999999999,50286146.8
Romany Malco,10,5.99,53191682.8
Justin Timberlake,10,5.9,68865078.8
Mako,10,5.85,46759868.5
LL Cool J,10,5.57,47616614.6
Faizon Love,10,5.49,21181160.9
Michael Jai White,10,5.21,37560325.755004905
Larry Miller,10,4.970000000000001,25305645.651668303
Emily Watson,9,7.2666666666666675,20936539.222222224
Marlon Brando,9,7.2555555555555555,80685542.27963144
Billy Crudup,9,7.088888888888889,26559156.444444444
Christoph Waltz,9,7.044444444444444,97950563.61296478
Ellen Burstyn,9,6.988888888888889,42333537.72407589
Bryce Dallas Howard,9,6.966666666666667,131827954.6129648
Noah Emmerich,9,6.9,32142380.777777776
Bob Balaban,9,6.800000000000001,52711867.11481845
Leonard Nimoy,9,6.800000000000001,96319994.61296478
Connie Nielsen,9,6.722222222222222,50110697.72407588
Dianne Wiest,9,6.722222222222222,31998221.444444444
Samantha Morton,9,6.711111111111111,19357728.892596226
Blythe Danner,9,6.677777777777777,92898656.16852033
Harry Lennix,9,6.666666666666667,66104984.390742555
Eric Stoltz,9,6.644444444444445,28745075.222222224
Tom Berenger,9,6.633333333333334,51522407.22592956
Harold Perrineau,9,6.6,39117472.55555555
Lili Taylor,9,6.566666666666666,57586648.777777776
Jennifer Ehle,9,6.555555555555555,66248308.777777776
Shirley Henderson,9,6.544444444444444,11939912.777777778
Joe Morton,9,6.522222222222222,65032168.88888889
Julian Richings,9,6.511111111111111,15341493.666666666
Michael McKean,9,6.433333333333334,16120545.444444444
