director_name,director_movie_count,director_avg_imdb_score,director_avg_gross
A. Raven Cruz,1,1.9,47726636.51668302
Aaron Hann,1,6.0,47726636.51668302
Aaron Schneider,1,7.1,9176553.0
Aaron Seltzer,1,2.7,48546578.0
Abel Ferrara,1,6.6,1227324.0
Adam Brooks,1,7.2,31973840.0
Adam Carolla,1,6.1,105943.0
Adam Goldberg,1,5.4,2580.0
Adam Green,1,5.7,47726636.51668302
Adam Jay Epstein,1,3.8,47726636.51668302
Adam Marcus,1,4.3,15935068.0
Adam McKay,6,6.916666666666667,87408281.83333333
Adam Rapp,1,6.4,101228.0
Adam Rifkin,2,6.5,25959830.75834151
Adam Shankman,8,5.9625,87133981.875
Adrian Lyne,4,6.4,77758253.0
Adrienne Shelly,1,7.1,19067631.0
Agnieszka Holland,1,6.8,352786.0
Agnieszka Wojtowicz-Vosloo,1,5.9,108229.0
Agustín Díaz Yanes,1,6.1,47726636.51668302
Aki Kaurismäki,1,7.2,611709.0
Akira Kurosawa,2,8.1,158958.5
Akiva Goldsman,1,6.2,22451.0
Akiva Schaffer,3,6.033333333333334,27540615.666666668
Al Franklin,1,4.3,47726636.51668302
Al Silliman Jr.,1,4.0,47726636.51668302
Alain Resnais,1,6.3,403649.0
Alan Alda,1,7.2,47726636.51668302
Alan Cohn,1,6.0,15062898.0
Alan J. Pakula,2,6.3,71822610.5
Alan Jacobs,1,7.3,47726636.51668302
Alan Metter,1,3.3,126247.0
Alan Parker,3,7.033333333333334,27542401.333333332
Alan Poul,1,5.3,37481242.0
Alan Rudolph,1,4.6,175370.0
Alan Shapiro,1,5.2,20047715.0
Alan Taylor,2,6.85,148046026.5
Alan Yuen,1,6.2,47726636.51668302
Albert Brooks,1,5.6,11614236.0
Albert Hughes,3,7.066666666666666,51440338.333333336
Alec Asten,1,4.3,47726636.51668302
Alejandro Agresti,1,6.8,52320979.0
Alejandro Amenábar,4,7.15,24807691.0
Alejandro G. Iñárritu,6,7.783333333333334,47834310.5
Alejandro Monteverde,2,7.4,7264283.0
Aleksandr Veledinskiy,1,7.5,47726636.51668302
Aleksey German,1,6.7,47726636.51668302
Alessandro Carloni,1,7.2,143523463.0
Alex Cox,1,6.9,47726636.51668302
Alex Craig Mann,1,4.6,1332.0
Alex Garland,1,7.7,25440971.0
Alex Gibney,1,7.7,274661.0
Alex Kendrick,4,6.775,31468749.879170753
Alex Proyas,5,6.82,64183055.6
Alex Ranarivelo,1,4.8,47726636.51668302
Alex Rivera,1,5.9,75727.0
Alex Smith,1,6.1,13134.0
Alex Zamm,1,2.3,306715.0
Alex van Warmerdam,1,7.0,47726636.51668302
Alexander Payne,5,7.42,50326077.2
Alexander Witt,1,6.2,50740078.0
Alexandre Aja,4,6.225,25279378.25
Alfonso Cuarón,4,7.8,143088109.75
Alfred Hitchcock,8,7.35,45760806.95209764
Alice Wu,1,7.6,1186323.0
Alison Maclean,1,7.0,1282084.0
Alister Grierson,1,5.9,23070045.0
Allan Arkush,1,4.2,47726636.51668302
Allan Dwan,1,7.2,47726636.51668302
Allen Coulter,1,7.2,19057024.0
Allen Hughes,1,6.2,19692608.0
Allison Anders,2,6.4,2239585.5
Allison Burnett,1,6.0,47726636.51668302
Amal Al-Agroobi,1,8.2,47726636.51668302
Amanda Gusack,1,6.1,47726636.51668302
Amat Escalante,1,6.8,47726636.51668302
Amy Heckerling,4,6.1,29956299.629170753
Amy Holden Jones,1,6.1,47726636.51668302
