cutoff_year,train_rows,test_rows,train_path,test_path
1991,613,82,data\time_splits\train_until_1991.csv,data\time_splits\test_1992_to_1993.csv
1992,647,102,data\time_splits\train_until_1992.csv,data\time_splits\test_1993_to_1994.csv
1993,695,124,data\time_splits\train_until_1993.csv,data\time_splits\test_1994_to_1995.csv
1994,749,169,data\time_splits\train_until_1994.csv,data\time_splits\test_1995_to_1996.csv
1995,819,217,data\time_splits\train_until_1995.csv,data\time_splits\test_1996_to_1997.csv
1996,918,252,data\time_splits\train_until_1996.csv,data\time_splits\test_1997_to_1998.csv
1997,1036,302,data\time_splits\train_until_1997.csv,data\time_splits\test_1998_to_1999.csv
1998,1170,339,data\time_splits\train_until_1998.csv,data\time_splits\test_1999_to_2000.csv
1999,1338,358,data\time_splits\train_until_1999.csv,data\time_splits\test_2000_to_2001.csv
2000,1509,395,data\time_splits\train_until_2000.csv,data\time_splits\test_2001_to_2002.csv
2001,1696,377,data\time_splits\train_until_2001.csv,data\time_splits\test_2002_to_2003.csv
2002,1904,383,data\time_splits\train_until_2002.csv,data\time_splits\test_2003_to_2004.csv
2003,2073,434,data\time_splits\train_until_2003.csv,data\time_splits\test_2004_to_2005.csv
2004,2287,459,data\time_splits\train_until_2004.csv,data\time_splits\test_2005_to_2006.csv
2005,2507,443,data\time_splits\train_until_2005.csv,data\time_splits\test_2006_to_2007.csv
2006,2746,429,data\time_splits\train_until_2006.csv,data\time_splits\test_2007_to_2008.csv
2007,2950,485,data\time_splits\train_until_2007.csv,data\time_splits\test_2008_to_2009.csv
2008,3175,490,data\time_splits\train_until_2008.csv,data\time_splits\test_2009_to_2010.csv
2009,3435,453,data\time_splits\train_until_2009.csv,data\time_splits\test_2010_to_2011.csv
2010,3665,444,data\time_splits\train_until_2010.csv,data\time_splits\test_2011_to_2012.csv
2011,3888,457,data\time_splits\train_until_2011.csv,data\time_splits\test_2012_to_2013.csv
2012,4109,488,data\time_splits\train_until_2012.csv,data\time_splits\test_2013_to_2014.csv
2013,4345,477,data\time_splits\train_until_2013.csv,data\time_splits\test_2014_to_2015.csv
2014,4597,331,data\time_splits\train_until_2014.csv,data\time_splits\test_2015_to_2016.csv
2015,4822,106,data\time_splits\train_until_2015.csv,data\time_splits\test_2016_to_2017.csv
