movie_title,title_year,genres,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,actual,pred_linear,abs_error_linear,pred_poly_deg_2,abs_error_poly_deg_2,pred_lgbm,abs_error_lgbm
Justin Bieber: Never Say Never ,2011,Documentary|Music,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,13000000.0,73000942.0,1.6,6.797975170300342,5.197975170300342,2.2344599150008992,0.6344599150008992,6.6569342453162506,5.056934245316251
Justin Bieber: Never Say Never ,2011,Documentary|Music,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,13000000.0,73000942.0,1.6,6.6874387540223905,5.08743875402239,7.495960444540046,5.895960444540046,6.548194842965802,4.948194842965801
United Passions ,2014,Drama|History|Sport,Frédéric Auburtin,Fisher Stevens,Thomas Kretschmann,Jemima West,24000000.0,46201627.84222285,2.0,6.33445425037256,4.33445425037256,7.190387074440835,5.190387074440835,6.475106383014416,4.475106383014416
United Passions ,2014,Drama|History|Sport,Frédéric Auburtin,Fisher Stevens,Thomas Kretschmann,Jemima West,24000000.0,46695764.91693206,2.0,6.267675684240136,4.267675684240136,6.285632881351469,4.285632881351469,6.384823780020151,4.384823780020151
Subconscious ,2015,Action|Mystery|Thriller,Georgia Hilton,Mike Beckingham,Tim Abell,Tom Stedham,39800382.4084788,46695764.91693206,2.2,6.159942170559606,3.9599421705596054,6.724578007027372,4.524578007027372,6.515195275309823,4.315195275309823
Subconscious ,2015,Action|Mystery|Thriller,Georgia Hilton,Mike Beckingham,Tim Abell,Tom Stedham,39558655.687190376,47362762.15425667,2.2,6.162982997661816,3.9629829976618156,6.558189119233385,4.358189119233385,6.48278492620299,4.28278492620299
Snow White: A Deadly Summer ,2012,Horror,David DeCoteau,Maureen McCormick,Shanley Caswell,Tim Abell,1000000.0,45257817.82092807,2.2,6.336433965634592,4.136433965634592,6.5738918045417565,4.373891804541756,6.381752549984333,4.181752549984333
Foodfight! ,2012,Action|Animation|Comedy|Family|Fantasy,Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,65000000.0,45257817.82092807,1.7,5.6540127481732805,3.9540127481732803,5.416477453186109,3.7164774531861084,5.738069866528478,4.0380698665284775
Snow White: A Deadly Summer ,2012,Horror,David DeCoteau,Maureen McCormick,Shanley Caswell,Tim Abell,1000000.0,45314094.35088235,2.2,6.2028505893036145,4.002850589303614,6.162197533421382,3.9621975334213815,6.1739332762512324,3.9739332762512323
Foodfight! ,2012,Action|Animation|Comedy|Family|Fantasy,Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,65000000.0,45314094.35088235,1.7,5.653512103854808,3.9535121038548082,6.349331477048189,4.649331477048189,5.640497318203645,3.9404973182036445
The Vatican Exorcisms ,2013,Horror,Joe Marino,Piero Maggiò,Anella Vastola,Joe Marino,1100000.0,46201627.84222285,2.6,6.34856304559538,3.7485630455953802,6.679273228546038,4.079273228546038,6.476214847705007,3.876214847705007
The Vatican Exorcisms ,2013,Horror,Joe Marino,Piero Maggiò,Anella Vastola,Joe Marino,1100000.0,45314094.35088235,2.6,6.363375759182212,3.7633757591822117,6.377519714977563,3.777519714977563,6.470016693396315,3.8700166933963147
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,2010,Comedy,Craig Moss,Noureen DeWulf,Bryan Callen,Matt Crabtree,1300000.0,44950563.12981408,2.7,6.556177385128966,3.856177385128966,6.461025927834511,3.7610259278345106,6.534343652799932,3.834343652799932
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,2010,Comedy,Craig Moss,Noureen DeWulf,Bryan Callen,Matt Crabtree,1300000.0,44853949.41151234,2.7,6.572445690120111,3.872445690120111,6.384016621377661,3.684016621377661,6.526896374262348,3.826896374262348
Dragonball: Evolution ,2009,Action|Adventure|Fantasy|Sci-Fi|Thriller,James Wong,Ian Whyte,Texas Battle,Randall Duk Kim,45000000.0,9353573.0,2.7,6.1698049641962305,3.4698049641962303,6.186216709391085,3.486216709391085,6.5171346814087405,3.8171346814087403
Frat Party ,2009,Comedy,Robert Bennett,Randy Wayne,Lauren C. Mayhew,Alicia Ziegler,1000000.0,44853949.41151234,2.8,6.113328570438809,3.3133285704388094,3.029754309266386,0.22975430926638607,6.54406946587436,3.74406946587436
Dancin' It's On ,2015,Family|Musical,David Winters,Gary Daniels,Matt Marr,Ginger Jensen,12000000.0,47362762.15425667,2.8,6.157111977635098,3.357111977635098,6.69695885617276,3.89695885617276,6.5363758304679305,3.7363758304679306
Mutant World ,2014,Sci-Fi,David Winning,Ashanti,Amber Marshall,John DeSantis,1500000.0,46201627.84222285,2.8,6.311958230935134,3.511958230935134,6.2645871255490855,3.4645871255490857,6.503511812964339,3.703511812964339
Mutant World ,2014,Sci-Fi,David Winning,Ashanti,Amber Marshall,John DeSantis,1500000.0,46695764.91693206,2.8,6.320469015058213,3.5204690150582127,6.287160407135505,3.487160407135505,6.485535981698971,3.685535981698971
Without Men ,2011,Comedy,Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,4700000.0,44950563.12981408,3.2,6.635222190578318,3.435222190578318,6.735801949894647,3.5358019498946467,6.867696920692366,3.667696920692366
