cutoff_year,train_rows,test_rows,train_path,test_path
1896,3,1,data\time_splits\train_until_1896.csv,data\time_splits\test_1897_to_1898.csv
1897,3,1,data\time_splits\train_until_1897.csv,data\time_splits\test_1898_to_1899.csv
1898,4,2,data\time_splits\train_until_1898.csv,data\time_splits\test_1899_to_1900.csv
1899,4,2,data\time_splits\train_until_1899.csv,data\time_splits\test_1900_to_1901.csv
1900,6,1,data\time_splits\train_until_1900.csv,data\time_splits\test_1901_to_1902.csv
1901,6,2,data\time_splits\train_until_1901.csv,data\time_splits\test_1902_to_1903.csv
1902,7,2,data\time_splits\train_until_1902.csv,data\time_splits\test_1903_to_1904.csv
1903,8,2,data\time_splits\train_until_1903.csv,data\time_splits\test_1904_to_1905.csv
1904,9,1,data\time_splits\train_until_1904.csv,data\time_splits\test_1905_to_1906.csv
1905,10,1,data\time_splits\train_until_1905.csv,data\time_splits\test_1906_to_1907.csv
1906,10,2,data\time_splits\train_until_1906.csv,data\time_splits\test_1907_to_1908.csv
1907,11,1,data\time_splits\train_until_1907.csv,data\time_splits\test_1908_to_1909.csv
1908,12,0,data\time_splits\train_until_1908.csv,data\time_splits\test_1909_to_1910.csv
1909,12,4,data\time_splits\train_until_1909.csv,data\time_splits\test_1910_to_1911.csv
1910,12,7,data\time_splits\train_until_1910.csv,data\time_splits\test_1911_to_1912.csv
1911,16,5,data\time_splits\train_until_1911.csv,data\time_splits\test_1912_to_1913.csv
1912,19,7,data\time_splits\train_until_1912.csv,data\time_splits\test_1913_to_1914.csv
1913,21,12,data\time_splits\train_until_1913.csv,data\time_splits\test_1914_to_1915.csv
1914,26,11,data\time_splits\train_until_1914.csv,data\time_splits\test_1915_to_1916.csv
1915,33,9,data\time_splits\train_until_1915.csv,data\time_splits\test_1916_to_1917.csv
1916,37,7,data\time_splits\train_until_1916.csv,data\time_splits\test_1917_to_1918.csv
1917,42,8,data\time_splits\train_until_1917.csv,data\time_splits\test_1918_to_1919.csv
1918,44,9,data\time_splits\train_until_1918.csv,data\time_splits\test_1919_to_1920.csv
1919,50,10,data\time_splits\train_until_1919.csv,data\time_splits\test_1920_to_1921.csv
1920,53,18,data\time_splits\train_until_1920.csv,data\time_splits\test_1921_to_1922.csv
1921,60,17,data\time_splits\train_until_1921.csv,data\time_splits\test_1922_to_1923.csv
1922,71,14,data\time_splits\train_until_1922.csv,data\time_splits\test_1923_to_1924.csv
1923,77,20,data\time_splits\train_until_1923.csv,data\time_splits\test_1924_to_1925.csv
1924,85,24,data\time_splits\train_until_1924.csv,data\time_splits\test_1925_to_1926.csv
1925,97,29,data\time_splits\train_until_1925.csv,data\time_splits\test_1926_to_1927.csv
1926,109,37,data\time_splits\train_until_1926.csv,data\time_splits\test_1927_to_1928.csv
1927,126,42,data\time_splits\train_until_1927.csv,data\time_splits\test_1928_to_1929.csv
1928,146,48,data\time_splits\train_until_1928.csv,data\time_splits\test_1929_to_1930.csv
1929,168,57,data\time_splits\train_until_1929.csv,data\time_splits\test_1930_to_1931.csv
1930,194,62,data\time_splits\train_until_1930.csv,data\time_splits\test_1931_to_1932.csv
1931,225,64,data\time_splits\train_until_1931.csv,data\time_splits\test_1932_to_1933.csv
1932,256,62,data\time_splits\train_until_1932.csv,data\time_splits\test_1933_to_1934.csv
1933,289,65,data\time_splits\train_until_1933.csv,data\time_splits\test_1934_to_1935.csv
1934,318,58,data\time_splits\train_until_1934.csv,data\time_splits\test_1935_to_1936.csv
1935,354,50,data\time_splits\train_until_1935.csv,data\time_splits\test_1936_to_1937.csv
1936,376,57,data\time_splits\train_until_1936.csv,data\time_splits\test_1937_to_1938.csv
1937,404,59,data\time_splits\train_until_1937.csv,data\time_splits\test_1938_to_1939.csv
1938,433,56,data\time_splits\train_until_1938.csv,data\time_splits\test_1939_to_1940.csv
1939,463,50,data\time_splits\train_until_1939.csv,data\time_splits\test_1940_to_1941.csv
1940,489,53,data\time_splits\train_until_1940.csv,data\time_splits\test_1941_to_1942.csv
1941,513,56,data\time_splits\train_until_1941.csv,data\time_splits\test_1942_to_1943.csv
1942,542,55,data\time_splits\train_until_1942.csv,data\time_splits\test_1943_to_1944.csv
1943,569,49,data\time_splits\train_until_1943.csv,data\time_splits\test_1944_to_1945.csv
1944,597,44,data\time_splits\train_until_1944.csv,data\time_splits\test_1945_to_1946.csv
1945,618,53,data\time_splits\train_until_1945.csv,data\time_splits\test_1946_to_1947.csv
1946,641,57,data\time_splits\train_until_1946.csv,data\time_splits\test_1947_to_1948.csv
1947,671,58,data\time_splits\train_until_1947.csv,data\time_splits\test_1948_to_1949.csv
1948,698,57,data\time_splits\train_until_1948.csv,data\time_splits\test_1949_to_1950.csv
1949,729,61,data\time_splits\train_until_1949.csv,data\time_splits\test_1950_to_1951.csv
1950,755,63,data\time_splits\train_until_1950.csv,data\time_splits\test_1951_to_1952.csv
1951,790,69,data\time_splits\train_until_1951.csv,data\time_splits\test_1952_to_1953.csv
1952,818,79,data\time_splits\train_until_1952.csv,data\time_splits\test_1953_to_1954.csv
1953,859,83,data\time_splits\train_until_1953.csv,data\time_splits\test_1954_to_1955.csv
1954,897,81,data\time_splits\train_until_1954.csv,data\time_splits\test_1955_to_1956.csv
