id,title,release_date,genres,original_language,original_title,imdb_id,vote_count,revenue,runtime,adult,budget,popularity,release_year,log_budget,log_gross,gross_to_budget_ratio,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
11,Star Wars,1977-05-25,Adventure|Action|Science Fiction,en,Star Wars,tt0076759,19155,775398007,121,False,11000000,88.559,1977,16.213405921671733,20.468887014201155,70.49072790909091,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.204
238,The Godfather,1972-03-14,Drama|Crime,en,The Godfather,tt0068646,18677,245066411,175,False,6000000,158.448,1972,15.607270193858982,19.31703980116409,40.844401833333336,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.707
105,Back to the Future,1985-07-03,Adventure|Comedy|Science Fiction,en,Back to the Future,tt0088763,18442,381109762,116,False,19000000,62.543,1985,16.759949589762293,19.758597983464,20.05840852631579,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.314
694,The Shining,1980-05-23,Horror|Thriller,en,The Shining,tt0081505,16205,44781695,144,False,19000000,45.252,1980,16.759949589762293,17.617310042468596,2.3569313157894736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.218
1891,The Empire Strikes Back,1980-05-20,Adventure|Action|Science Fiction,en,The Empire Strikes Back,tt0080684,15773,538400000,124,False,18000000,35.265,1980,16.705882371415992,20.10411233815215,29.91111111111111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.4
274,The Silence of the Lambs,1991-02-14,Crime|Drama|Thriller,en,The Silence of the Lambs,tt0102926,15003,272742922,119,False,19000000,9.119,1991,16.759949589762293,19.424040235503067,14.354890631578947,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.3
1892,Return of the Jedi,1983-05-25,Adventure|Action|Science Fiction,en,Return of the Jedi,tt0086190,14591,572700000,132,False,32350000,40.104,1983,17.292124609823084,20.1658725791102,17.7032457496136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.892
500,Reservoir Dogs,1992-09-02,Crime|Thriller,en,Reservoir Dogs,tt0105236,13296,2859750,99,False,1200000,34.018,1992,13.997832948091215,14.866245116068775,2.383125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.132
348,Alien,1979-05-25,Horror|Science Fiction,en,Alien,tt0078748,13206,104931801,117,False,11000000,72.767,1979,16.213405921671733,18.468821192340297,9.539254636363637,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.147
78,Blade Runner,1982-06-25,Science Fiction|Drama|Thriller,en,Blade Runner,tt0083658,12770,41722424,118,False,28000000,56.798,1982,17.147715103853763,17.546549312006853,1.4900865714285714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7.931
162,Edward Scissorhands,1990-12-07,Fantasy|Drama|Romance,en,Edward Scissorhands,tt0099487,12049,53000000,105,False,20000000,37.283,1990,16.811242881518265,17.78580249038432,2.65,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.716
185,A Clockwork Orange,1971-12-19,Science Fiction|Drama,en,A Clockwork Orange,tt0066921,11946,26589000,137,False,2200000,38.323,1971,14.603968372873895,17.09600819199818,12.085909090909091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.2
218,The Terminator,1984-10-26,Action|Thriller|Science Fiction,en,The Terminator,tt0088247,11874,78371200,108,False,6400000,44.969,1984,15.671808704579888,18.176967083653235,12.2455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.646
